X,Y,address,adm1_boundary,adm2_boundary
90.5904163,23.9162501,পলাশ,Dhaka,Gazipur
90.3904163,24.2245834,শ্রীপুর,Dhaka,Gazipur
90.6237496,23.9995834,কালিগঞ্জ,Dhaka,Gazipur
90.5487496,24.1412501,কাপাসিয়া,Dhaka,Gazipur
90.3737496,24.0412501,গাজীপুর সদর,Dhaka,Gazipur
90.4487496,24.1579168,গাজীপুর সদর,Dhaka,Gazipur
90.5654163,23.9162501,কালিগঞ্জ,Dhaka,Gazipur
90.457083,23.9995834,গাজীপুর সদর,Dhaka,Gazipur
90.6154163,23.9912501,কালিগঞ্জ,Dhaka,Gazipur
90.5237496,24.2579168,শ্রীপুর,Dhaka,Gazipur
90.4404163,24.1829168,শ্রীপুর,Dhaka,Gazipur
90.6154163,23.9829168,কালিগঞ্জ,Dhaka,Gazipur
90.5237496,24.2245834,শ্রীপুর,Dhaka,Gazipur
90.582083,23.9412501,কালিগঞ্জ,Dhaka,Gazipur
90.407083,24.1745834,শ্রীপুর,Dhaka,Gazipur
90.4237496,24.0079168,গাজীপুর সদর,Dhaka,Gazipur
90.6154163,23.9662501,"Puraton Sonali Bank More, Kaliganj, BGD",Dhaka,Gazipur
90.3654163,24.0495834,গাজীপুর সদর,Dhaka,Gazipur
90.6237496,23.9745834,কালিগঞ্জ,Dhaka,Gazipur
91.3654163,24.2579168,মাধাবপুর,Sylhet,Habiganj
91.3904163,24.2745834,হবিগঞ্জ সদর,Sylhet,Habiganj
91.357083,24.1829168,মাধাবপুর,Sylhet,Habiganj
91.4237496,24.4079168,বানিয়াচং,Sylhet,Habiganj
91.5154163,24.2995834,"ঢাকা-সিলেট হাইওয়ে, বাহুবল",Sylhet,Habiganj
91.3487496,24.5162501,বানিয়াচং,Sylhet,Habiganj
91.4154163,24.3662501,"Bipass Road, Habiganj, BGD",Sylhet,Habiganj
91.3654163,24.1829168,মাধাবপুর,Sylhet,Habiganj
91.357083,24.1745834,মাধাবপুর,Sylhet,Habiganj
91.3654163,24.2662501,হবিগঞ্জ সদর,Sylhet,Habiganj
91.357083,24.1495834,মাধাবপুর,Sylhet,Habiganj
91.3904163,24.2662501,চুনারুঘাট,Sylhet,Habiganj
91.3487496,24.5245834,বানিয়াচং,Sylhet,Habiganj
91.257083,24.2829168,"R220, Lakhai, BGD",Sylhet,Habiganj
91.3487496,24.1579168,"ঢাকা-সিলেট হাইওয়ে, মাধাবপুর",Sylhet,Habiganj
91.357083,24.5329168,বানিয়াচং,Sylhet,Habiganj
91.3904163,24.2495834,চুনারুঘাট,Sylhet,Habiganj
91.4154163,24.3995834,বানিয়াচং,Sylhet,Habiganj
91.407083,24.3829168,"Bipass Road, Habiganj, BGD",Sylhet,Habiganj
89.832083,24.6662501,শরিষাবাড়ী,Mymensingh,Jamalpur
89.8404163,24.7662501,শরিষাবাড়ী,Mymensingh,Jamalpur
89.8237497,24.6829168,শরিষাবাড়ী,Mymensingh,Jamalpur
89.957083,24.8912501,জামালপুর সদর,Mymensingh,Jamalpur
89.782083,25.0829168,"Z4021, Islampur, BGD",Mymensingh,Jamalpur
89.832083,25.2995834,দেওয়ানগঞ্জ,Mymensingh,Jamalpur
89.9487496,24.8995834,জামালপুর সদর,Mymensingh,Jamalpur
89.957083,24.8995834,জামালপুর সদর,Mymensingh,Jamalpur
89.3987497,23.0079168,অভগনগর,Khulna,Jessore
89.407083,23.0162501,অভগনগর,Khulna,Jessore
